code,date,gap_rate,rise_2to1,rise_1to0,target_price,stop_price,reached,stopped,days_to_reach,min_low_pct,ma_arr,total_range,prev_range,high_pt,low_pt,cond1_hit,cond2_hit,cond3_hit,strategy_full
039130,20251203,2.98,1.18,5.11,50150,45200,True,False,2.0,0.83,MA120>MA60>MA5>MA40>MA20,2800,700,50100,45650,False,False,False,False
039490,20251027,4.23,3.82,8.27,317000,257000,True,False,3.0,0.53,MA5>MA20>MA40>MA60>MA120,25000,10000,304500,270500,False,False,False,False
039490,20260123,2.3,5.83,5.21,422500,301500,True,False,4.0,0.6,MA5>MA20>MA40>MA60>MA120,28000,24500,368000,331000,False,False,False,False
042660,20251022,2.65,6.16,9.69,152400,107200,False,False,,-5.57,MA5>MA40>MA20>MA60>MA120,16800,7500,139900,120700,False,False,False,False
042700,20260105,7.2,13.42,15.78,208400,107750,True,False,18.0,6.33,MA5>MA60>MA20>MA40>MA120,39700,17100,184400,119100,False,False,False,False
047050,20260115,2.54,2.6,4.53,65800,50950,True,False,4.0,-0.18,MA60>MA5>MA40>MA120>MA20,4500,3100,60800,53800,False,False,False,False
047810,20251117,2.81,-0.1,7.86,125500,97700,False,False,,-5.47,MA5>MA40>MA20>MA60>MA120,9000,4600,115800,104400,False,False,False,False
047810,20260108,2.28,0.0,4.92,153200,130800,True,False,1.0,2.01,MA5>MA20>MA40>MA60>MA120,8000,4200,147000,136800,False,False,False,False
051910,20251022,2.89,-0.43,13.01,428000,319000,True,False,16.0,4.78,MA5>MA20>MA40>MA60>MA120,48000,13000,404000,348000,False,False,False,False
052690,20260112,2.26,0.83,5.24,112200,94250,True,False,2.0,1.71,MA5>MA60>MA20>MA120>MA40,5500,3700,106200,98700,False,False,False,False
052690,20260119,2.6,11.73,5.21,176100,105550,False,False,,-3.85,MA5>MA20>MA60>MA40>MA120,18500,14600,147900,118100,False,False,False,False
052690,20260204,6.06,5.34,12.19,158600,116100,True,False,9.0,-1.5,MA5>MA20>MA40>MA60>MA120,21400,6100,154300,123500,False,False,False,False
058650,20251212,2.72,1.0,7.18,135000,116550,True,False,1.0,-0.96,MA120>MA5>MA60>MA20>MA40,8900,2400,132300,121900,False,False,False,False
058650,20260123,2.56,1.36,12.12,198800,141750,False,False,,-7.5,MA5>MA20>MA40>MA60>MA120,22100,8200,183100,155600,False,False,False,False
058730,20251124,3.62,0.16,14.8,4650,2725,False,False,,-2.06,MA5>MA120>MA60>MA40>MA20,510,365,3855,3210,False,False,False,False
060980,20251204,3.03,1.27,8.98,56250,45000,False,True,,-11.04,MA5>MA20>MA40>MA60>MA120,4800,1500,53700,47650,True,False,False,False
064400,20251103,2.41,5.24,5.58,83600,60250,False,True,,-16.05,MA120>MA60>MA40>MA5>MA20,6500,4600,74600,64800,False,False,False,False
064400,20251205,2.86,6.97,6.84,88600,54900,False,False,,-6.34,MA120>MA60>MA5>MA40>MA20,8200,6900,74100,61500,False,False,False,False
064400,20251212,2.29,1.4,4.74,75600,63100,False,True,,-6.13,MA120>MA5>MA60>MA40>MA20,3600,2600,71100,65900,False,False,False,False
064960,20251205,2.25,-0.97,3.65,42900,34725,False,True,,-5.08,MA5>MA60>MA120>MA40>MA20,1450,1850,38750,37500,True,False,False,False
066570,20251205,3.59,5.92,5.17,116900,85000,False,False,,-8.04,MA5>MA20>MA40>MA60>MA120,9800,6600,106300,89000,False,False,False,False
066575,20251106,2.19,1.27,12.2,61575,44800,False,False,,-6.02,MA5>MA20>MA40>MA60>MA120,6000,2675,56475,49375,True,False,False,False
066575,20251205,2.51,5.08,5.42,62450,46625,False,False,,-9.91,MA5>MA20>MA40>MA60>MA120,5250,3050,57550,48850,False,False,False,False
066575,20260116,2.46,0.62,7.58,55800,46425,True,False,18.0,-4.3,MA40>MA60>MA20>MA5>MA120,4050,1300,53800,48500,False,False,False,False
066970,20251017,3.76,19.27,12.8,158500,67050,False,False,,4.11,MA5>MA20>MA40>MA60>MA120,29300,17000,128000,81700,False,False,False,False
067830,20251212,11.45,19.0,16.94,5275,2095,False,False,,-16.64,MA5>MA120>MA20>MA60>MA40,1020,625,4250,2770,False,False,False,False
